Category,Name
Afghan,1
American,77
Argentine,1
Asian Fusion,34
Bakeries,6
Barbeque,18
Bars,55
Breakfast & Brunch,63
British,2
Buffets,4
Burgers,28
Burmese,1
Cafes,33
Cajun/Creole,8
Cantonese,1
Caribbean,11
Chicken Shop,21
Chicken Wings,21
Chinese,28
Colombian,2
Comfort Food,9
Cuban,7
Delis,6
Desserts,10
Dim Sum,7
Diners,2
Egyptian,1
Fast Food,9
Filipino,2
Fish & Chips,2
Flea Markets,1
French,3
German,1
Gluten-Free,5
Greek,2
Guamanian,1
Halal,1
Hawaiian,20
Hot Dogs,7
Imported Food,1
Italian,12
Japanese,21
Juice Bars & Smoothies,6
Kebab,2
Korean,26
Laotian,1
Latin American,20
Lebanese,1
Malaysian,1
Mediterranean,10
Mexican,51
Middle Eastern,3
Modern European,1
Nicaraguan,1
Noodles,27
Pan Asian,2
Pasta Shops,1
Patisserie/Cake Shop,1
Peruvian,5
Pizza,10
Poke,8
Polish,1
Ramen,9
Salad,16
Sandwiches,62
Scandinavian,1
Seafood,31
Shanghainese,1
Shaved Ice,1
Soul Food,9
Soup,10
Southern,18
Spanish,3
Specialty Food,5
Steakhouses,4
Sushi Bars,12
Tacos,25
Taiwanese,5
Tapas/Small Plates,12
Tex-Mex,6
Thai,15
Vegan,1
Vegetarian,5
Venezuelan,4
Venues & Event Spaces,1
Vietnamese,11
Waffles,3
Wraps,1
